2;50;1;7;.143;0;0;;0;0;;7;4;0;1;0;3;2
2;41;9;17;.529;4;7;.571;3;5;.600;2;2;3;0;0;2;25
2;48;7;15;.467;3;4;.750;0;0;;14;0;1;0;2;3;17
2;46;1;4;.250;0;0;;3;4;.750;2;4;2;0;0;1;5
2;54;1;1;1.000;0;0;;0;0;;1;1;0;0;0;1;2
2;47;0;0;;0;0;;0;0;;0;1;0;0;0;1;0
2;51;1;1;1.000;1;1;1.000;0;0;;0;0;0;0;0;1;3
2;39;1;1;1.000;0;0;;0;0;;0;0;0;0;0;0;2
3;408;14;26;.538;0;2;.000;7;9;.778;14;1;2;4;3;4;35
3;418;6;15;.400;4;10;.400;0;0;;11;3;2;4;1;1;16
3;422;3;9;.333;0;1;.000;0;0;;8;17;1;0;2;4;6
3;412;10;20;.500;1;5;.200;0;1;.000;7;2;1;2;3;1;21
3;419;2;4;.500;0;1;.000;0;0;;2;2;1;0;1;2;4
3;403;4;5;.800;2;2;1.000;0;0;;1;1;1;1;2;1;10
3;417;0;1;.000;0;1;.000;0;0;;4;0;0;0;1;0;0
3;409;1;4;.250;0;0;;0;0;;2;0;0;1;0;2;2
3;411;1;2;.500;1;2;.500;0;0;;0;0;0;0;1;2;3
3;355;6;23;.261;4;9;.444;2;2;1.000;7;7;2;0;0;2;18
3;356;7;18;.389;4;10;.400;1;1;1.000;2;2;3;0;1;1;19
3;361;6;15;.400;1;4;.250;0;0;;7;0;1;1;4;2;13
3;347;3;7;.429;1;5;.200;0;0;;7;2;0;1;3;1;7
3;358;3;7;.429;0;0;;5;5;1.000;11;0;0;2;0;3;11
3;349;3;8;.375;1;4;.250;1;2;.500;2;3;2;1;0;1;8
3;351;3;6;.500;0;0;;0;2;.000;13;0;0;1;1;3;6
3;350;3;7;.429;1;4;.250;0;0;;2;1;1;0;0;1;7
3;357;3;7;.429;0;3;.000;0;0;;1;1;1;0;3;1;6
3;348;0;0;;0;0;;0;0;;0;1;0;0;0;0;0
3;354;0;0;;0;0;;0;0;;0;0;0;0;0;0;0
4;146;8;17;.471;2;6;.333;1;1;1.000;2;4;3;0;1;1;19
4;161;6;20;.300;3;5;.600;8;10;.800;3;15;4;2;5;3;23
4;153;9;15;.600;1;4;.250;3;3;1.000;11;6;0;0;0;5;22
4;155;4;7;.571;1;3;.333;0;0;;5;1;1;1;0;1;9
4;148;6;9;.667;0;0;;0;0;;6;0;0;0;1;3;12
4;158;7;10;.700;0;0;;0;0;;3;0;0;0;2;2;14
4;154;1;4;.250;1;2;.500;0;0;;5;1;1;0;2;3;3
4;157;0;3;.000;0;1;.000;2;2;1.000;0;1;0;0;1;0;2
4;147;0;1;.000;0;0;;0;0;;0;1;1;0;0;1;0
4;150;0;0;;0;0;;2;2;1.000;0;0;1;0;1;2;2
4;7;4;9;.444;1;4;.250;2;2;1.000;3;9;2;0;5;5;11
4;4;6;17;.353;2;5;.400;3;4;.750;2;6;0;0;2;1;17
4;6;8;11;.727;3;4;.750;4;4;1.000;12;1;0;2;1;3;23
4;16;4;6;.667;0;0;;1;2;.500;9;2;0;1;1;1;9
4;1;5;9;.556;2;4;.500;0;0;;2;1;0;1;0;1;12
4;18;7;10;.700;3;4;.750;1;2;.500;1;4;3;1;4;2;18
4;9;4;8;.500;4;7;.571;0;0;;2;0;1;0;0;0;12
4;15;2;5;.400;1;2;.500;4;4;1.000;5;1;0;0;1;2;9
4;12;1;1;1.000;0;0;;0;0;;1;1;0;2;3;2;2
4;11;0;0;;0;0;;1;2;.500;1;1;0;0;0;0;1
4;13;0;1;.000;0;0;;0;0;;0;0;0;0;0;1;0
5;133;12;20;.600;5;7;.714;2;2;1.000;8;6;2;1;3;5;31
5;122;11;21;.524;0;1;.000;13;16;.813;13;7;3;0;4;6;35
5;128;3;6;.500;0;0;;1;2;.500;6;1;0;6;3;3;7
5;140;1;4;.250;0;3;.000;0;0;;3;0;0;1;1;3;2
5;123;4;12;.333;0;2;.000;1;2;.500;4;4;0;0;5;6;9
5;125;6;13;.462;2;6;.333;2;2;1.000;4;3;1;0;2;4;16
