74;OKC;MIN;116;119;October 27, 2017
75;BKN;NYK;86;107;October 27, 2017
76;SAS;ORL;87;114;October 27, 2017
77;OKC;CHI;101;69;October 28, 2017
78;PHI;DAL;112;110;October 28, 2017
79;DET;LAC;95;87;October 28, 2017
80;HOU;MEM;89;103;October 28, 2017
81;BOS;MIA;96;90;October 28, 2017
82;CLE;NOP;101;123;October 28, 2017
83;PHX;POR;107;114;October 28, 2017
84;LAL;UTA;81;96;October 28, 2017
85;MIL;ATL;117;106;October 29, 2017
86;DEN;BKN;124;111;October 29, 2017
87;ORL;CHA;113;120;October 29, 2017
88;NYK;CLE;114;95;October 29, 2017
89;DET;GSW;115;107;October 29, 2017
90;SAS;IND;94;97;October 29, 2017
91;WAS;SAC;110;83;October 29, 2017
92;SAS;BOS;94;108;October 30, 2017
93;PHI;HOU;115;107;October 30, 2017
94;GSW;LAC;141;113;October 30, 2017
95;CHA;MEM;104;99;October 30, 2017
96;MIN;MIA;125;122;October 30, 2017
97;ORL;NOP;115;99;October 30, 2017
98;DEN;NYK;110;116;October 30, 2017
99;TOR;POR;99;85;October 30, 2017
100;DAL;UTA;89;104;October 30, 2017
101;PHX;BKN;122;114; October 31, 2017
102;SAC;IND;83;101; October 31, 2017
103;DET;LAL;93;113; October 31, 2017
104;OKC;MIL;110;91; October 31, 2017
105;SAC;BOS;86;113;November 1, 2017
106;MIL;CHA;121;126;November 1, 2017
107;IND;CLE;124;107;November 1, 2017
108;TOR;DEN;111;129;November 1, 2017
109;DAL;LAC;98;119;November 1, 2017
110;ORL;MEM;101;99;November 1, 2017
111;CHI;MIA;91;97;November 1, 2017
112;MIN;NOP;104;98;November 1, 2017
113;HOU;NYK;119;97;November 1, 2017
114;ATL;PHI;109;119;November 1, 2017
115;POR;UTA;103;112;November 1, 2017
116;PHX;WAS;122;116;November 1, 2017
117;LAL;POR;110;113;November 2, 2017
118;GSW;SAS;112;92;November 2, 2017
119;HOU;ATL;119;104;November 3, 2017
120;NOP;DAL;99;94;November 3, 2017
121;MIA;DEN;94;95;November 3, 2017
122;MIL;DET;96;105;November 3, 2017
123;BKN;LAL;112;124;November 3, 2017
124;PHX;NYK;107;120;November 3, 2017
125;BOS;OKC;101;94;November 3, 2017
